NHx-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	8.17	8.02	8.93	10.75	12.47	12.89	10.73	9	7.47	8.57
	9.22	12.79	12.44	13.14	11.55	13.02	13.09	13.12	13.41	14.4
	12.3	4.73	9.09	10.78	9.87	7.64	6.77	5.19	5.71	5.44
	5.69	6.04	4.45	4.48	4.2	4.63	4.53	4.1	4.03	3.56
	3.29	2.46	2.4	55.02	651.03	150.95	20.21	22.92	23.91	21.29
	15.41	15.15	14.74	13.84	12.05	10.65	7.31	6	7.87	7.16
	6.93	8.2	10.24	10.86	12.62	15.85	17.17	15.82	13.26	14.77
	13.52	11.62	10.43	10.11	10.46	12.33	13.58	12.18	13.08	12.57
	13.36	12.68	11.42	13.38	14.38	15.91	14.34	18.44	20.14	16.35
	16.11	55.22	260.07	21.22	13.19	9.47	8.05	4.45	3.81	3.47
	4.58	3.4	3.14	3.34	2.66	1.53	1.68	2.01	2.3	2.07
	1.6	1.02	-0.48	-1.08	-0.92	242.14	710.76	493.71	57.1	28.48
	32.03	17.93	17.87	21.08	16.68	14.24	11.03	10.8	10.74	8.22
	4.92	4.57	8.08	9.04	10.89	7.85	16.03	16.95	16.53	16.19
	12.1	16.79	16.86	13.1	9.9	8.73	8.91	8.88	7.82	7.21
	7.18	6.07	7.22	6.45	6.37	9.6	10.89	10.28	15.5	159.14
	27.34	22.59	17.58	13.77	138.45	165.62	11.18	4.15	3.77	3.2
	3.67	2.53	2.96	2.21	2.01	2.47	0.52	-0.67	1.1	0.25
	1.89	1.97	1.25	0.39	-1.2	-2.23	-2.24	345.94	608.57	991.32
	819.07	71.68	55.31	29.28	29.01	27.88	23.05	19.38	13.85	12.5
	8.18	8.62	7.01	6.59	6.8	9.52	23.53	22.46	26.43	28.91
	25.67	18.21	12.81	13.29	11.04	9.61	7.82	6.08	6.53	5.67
	3.49	3.12	3.11	3.39	4.45	6.51	9.34	9.6	6.97	10.72
	210.06	420.47	82.92	29.96	15.92	8.57	14.31	227.23	14.22	-5.34
	1.18	1.65	2.21	2.32	3.67	2.63	3.13	4.78	2.59	3.48
	4.71	3.57	4.53	2.82	0.61	0.3	-1.13	-1.48	0.08	148.48
	710.14	1178.56	1704.55	978.96	86.58	43.4	32.83	32.41	15.88	9.06
	5.24	6.91	3.21	4.06	-0.19	-1.8	-4.93	50.19	342.57	199.94
	43.23	30.67	10.03	3.93	6.32	6.42	-2.17	-5.45	0.32	0.35
	-0.8	-2.52	-1.45	-1.25	-1.21	-1.44	-3.79	53.95	23.23	7.73
	7.89	80.31	379.84	406.79	156.29	25.94	14.85	6.51	22.36	43.84
	-1.33	0.02	-0.24	1.03	2.06	2.9	3.92	4.17	4.78	6.11
	6.4	7.84	7.16	6.76	7.6	4.67	1.52	0.61	-0.72	1.25
	1.13	55.47	817.67	849.7	1674.3	4212.21	742.43	70.84	56.9	34.9
	21.19	14.29	9.89	8.34	6.33	3.18	-1.53	-5.64	-9.08	78.46
	495.61	582.07	296.82	33.77	14.82	13.04	12.28	6.07	3.08	0.57
	0.17	-0.9	-0.6	-1.87	-3.55	-4.55	-4.69	-5.84	-3.16	70.99
	0.83	-3.7	14.77	49.5	87.32	215.94	326.32	21.75	8.07	1.28
	-3.13	-2.09	2.98	1.59	2.84	6.09	8.01	8.19	7.76	7.58
	6.79	8.31	8.77	8.16	7.57	8.55	8.55	3.88	3.08	2.41
	1.96	1.99	1.29	6.76	462.72	560.62	1130.29	3451.06	3088.17	97.46
	50.68	36.38	24.14	16.72	12.4	8.06	6.38	3.38	-1.59	-9.77
	-10.99	60.96	223.68	799.67	862.66	19.55	12.84	49.09	17.89	13.08
	11.2	6.4	2.91	2.82	1.75	-0.28	0.55	-0.97	-3.26	-3.77
	1.63	4.18	-14.03	-16.94	-1.51	5.79	7.71	15.93	145.52	16.49
	0.55	4.29	1.24	3.46	-0.08	6.49	4.35	5.4	7.2	7.43
	8.13	6.8	6.86	7.6	7.76	6.66	5.09	7.19	4.31	2.66
	2.38	2.19	2.6	1.3	2.58	5.09	144.2	306.16	1184.4	2022.29
	2774.82	1328.65	85.44	24.18	15.38	10.7	6.5	6.25	6.15	5.92
	1.57	-8.59	-4.7	111.58	158.47	372.32	527.61	104.22	56.04	563.5
	15.4	24.01	9.64	4.68	3.8	2.76	3.33	4.5	3.64	5.77
	2.96	5.95	9.26	-7.11	-6.69	4.05	4.1	-14.88	26.45	49.41
	74.59	16.37	-2.12	0.17	-0.7	2.36	11.68	12.79	8.22	4.08
	7.42	5.87	4.9	4.43	5.91	7.48	4.8	3.46	2.49	-0.83
	-0.92	-2.13	-2.29	-1.78	-1.73	-3.16	-5.41	2.74	285.98	636.9
	449.45	927.47	1457.82	1728.13	660.67	4.15	7.07	6.28	5.31	4.76
	6.04	3.82	-3.24	-10	6.59	224.22	430.23	390.35	841.99	133.52
	31.53	701.98	57	51.72	8.39	7.54	7.08	6.79	7.7	7.74
	8.43	9.36	9.53	6.05	3.27	13.98	15.14	21	17.58	5.06
	49.53	77.13	17.13	-7.22	-5.82	7.51	7.8	10.63	16.55	15.38
	6.84	6.81	8.12	11.07	9.33	9.76	11.61	10.76	3.43	2.24
	-1.52	-4.56	-7.46	-10.5	-8.93	-10.02	-9.01	-15.82	-10.29	296.58
	660.99	257.11	262.17	661.87	938.25	1364.34	670.05	11.06	5.54	3.95
	2.04	1.37	5.8	6.48	0.96	-7.24	12.42	282.31	249.21	369.23
	549.86	372.34	105.1	491.06	192.92	12.91	4.66	4.21	3.07	3.46
	8.25	7.19	8.01	9.08	5.9	4.14	1.71	7.88	15.97	69.61
	16.58	16.33	76.96	30.24	19.51	6.91	2.01	7.95	11.99	16.39
