NOy-deposition	mg N/m2/year		im = 72		jm = 48		year1993			

	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
	0.18	0.18	0.62	0.71	0.85	1.08	1.07	0.69	0.28	0.13
	0.1	0.11	0.12	0.14	0.18	0.23	0.3	0.27	0.21	0.19
	0.19	0.2	0.16	0.14	0.19	0.23	0.22	0.15	0.15	0.17
	0.19	0.2	0.21	0.22	0.21	0.18	0.14	0.11	0.09	0.09
	0.1	0.12	0.12	0.13	0.13	0.14	0.13	0.12	0.11	0.11
	0.11	0.11	0.11	0.12	0.13	0.14	0.14	0.14	0.13	0.13
	0.13	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.2
	0.22	0.29	0.43	0.47	0.87	0.98	1.06	1.05	1.14	0.64
	0.44	0.13	0.1	0.12	0.14	0.17	0.2	0.22	0.25	0.27
	0.25	0.2	0.19	0.2	0.42	0.38	0.4	0.51	0.39	0.31
	0.19	0.22	0.4	0.34	0.18	0.27	0.3	0.26	0.17	0.1
	0.09	0.13	0.16	0.14	0.11	0.11	0.12	0.13	0.13	0.13
	0.13	0.15	0.17	0.16	0.15	0.14	0.13	0.13	0.12	0.13
	0.12	0.11	0.1	0.1	0.1	0.11	0.12	0.12	0.14	0.15
	0.18	0.21	0.44	0.87	0.91	0.85	0.85	1	1.14	1.18
	1.19	1.28	1.49	1.47	1.77	1.69	1.54	1.07	0.36	0.36
	1.91	1.79	0.39	0.3	0.24	0.29	0.46	0.36	0.36	0.59
	0.92	0.77	0.54	0.58	0.66	0.63	0.55	0.71	0.32	0.32
	0.23	0.14	0.13	0.19	0.18	0.12	0.1	0.1	0.14	0.16
	0.17	0.16	0.14	0.14	0.14	0.13	0.17	0.17	0.12	0.13
	0.15	0.16	0.15	0.13	0.12	0.15	0.16	0.19	0.19	0.19
	0.23	0.2	0.22	0.24	0.25	0.7	0.64	0.7	1.55	1.98
	2.16	1.8	1.78	2.22	2.56	2.79	2.25	2.24	1.74	1.8
	1.94	1.85	2.1	1.99	1.3	2.79	2.64	2.27	2.47	3.15
	2.05	0.4	1.09	0.66	0.75	0.75	0.77	0.73	0.86	0.9
	0.99	0.86	0.75	0.6	0.54	0.65	0.64	1	1.31	1.07
	0.28	0.3	0.21	0.21	0.18	0.19	0.22	0.19	0.23	0.3
	0.18	0.17	0.2	0.24	0.23	0.2	0.28	0.36	0.38	0.37
	0.37	0.35	0.35	0.31	0.36	0.36	0.58	0.81	1.06	1.3
	3.02	3.63	3.77	3.32	2.96	3.43	3.25	3.42	3.07	2.94
	2.47	2.26	2.72	2.51	2.78	2.8	2.55	2.38	2.23	2.08
	2.3	3.46	3.43	1.23	1.36	1	1.01	1.08	1.03	0.95
	0.98	1.19	1.22	1.43	1.54	1.29	1.39	1.66	1.14	1.36
	1.99	1.95	1.66	1.92	1.79	1.2	0.36	0.35	0.29	0.37
	0.8	0.82	0.7	0.26	0.26	0.29	0.27	0.3	0.41	0.47
	0.56	0.56	0.52	0.53	0.54	0.84	1.39	1.75	1.66	2.38
	2.61	2.78	5.31	5.09	4.27	3.94	4.01	3.98	4.11	4.65
	4.39	4.21	4.44	4.77	4.93	4.48	4.43	4.04	3.59	3.55
	3.5	3.11	3	2.99	4.49	4.28	1.69	1.61	1.42	1.72
	2.29	2.22	2.04	2.48	2.23	2.2	2.31	2.48	2.42	2.6
	2.84	2.74	2.86	2.6	2.79	2.97	3.4	3.95	4.52	3.45
	3.63	3.16	2.69	2.53	2.04	1.85	1.78	1.77	2.06	2.15
	2.17	2.38	2.87	3.02	3.37	3.44	3.17	3.83	3.06	3.25
	3.38	4.04	4.28	4.38	7.18	6.29	5.74	5.2	5.19	5.21
	4.76	5.71	5.24	5.27	5.85	6.05	6.24	5.74	6.23	5.81
	5.66	5.4	4.92	5.31	4.89	4.92	3.96	4.07	3.78	2.8
	3.33	3.06	3.37	3.02	2.92	3.4	3.75	2.97	2.99	2.93
	2.88	3.01	3.21	3.48	3.98	4.18	4.29	4.11	4.16	5.52
	7.09	7.01	7.23	6.18	5.74	4.9	3.61	3.48	3.57	3.29
	3.51	3.74	3.7	4.18	3.89	4.45	4.86	4.76	5.17	5.43
	4.9	4.23	5.85	6.29	6.78	6.61	8.15	7.24	6.99	7.1
	6.12	5.49	5.85	6.57	6.5	6.18	7.34	8.61	7.68	7.3
	7.47	6.94	6.69	6.43	6.55	6.33	6.29	7.88	6.44	5.86
	5.56	5.02	4.81	5.09	5.54	4.98	4.86	4.6	4.88	5.02
	4.73	3.8	4.08	4.42	4.62	4.96	4.48	5.05	5.62	6.26
	7.23	7.95	8.09	7.62	7.69	6.98	6.51	5.78	5.63	6.39
	5.78	5.22	5.01	5.15	4.75	5.25	5.84	5.89	5.93	5.78
	6.71	5.9	7	7.08	7.35	8.08	8.53	8.16	10.29	9.42
	8.76	8.28	8.14	7.96	8.47	8.14	7.86	7.62	8.43	8.47
	8.06	8.84	8.59	7.89	7.69	7.48	7.08	7.41	8.23	13.49
	10.9	8.21	6.66	5.95	6.07	6.07	6.81	6.37	6.36	6.2
	6.55	5.92	5.18	4.91	5.21	4.89	4.67	4.14	4.78	6.19
	7.76	8.79	10.01	11.84	12.44	11.67	10.21	9.47	8.44	6.69
	5.91	6.22	6.81	7.19	6.39	6.2	5.86	6.31	7.24	8.34
	8.39	8.82	9.55	9.4	11.63	11.67	13.22	13.82	12.76	10.1
	11.91	10.54	10.4	9.52	8.79	8.38	8.96	9.45	8.94	8.23
	7.63	7.87	7.97	7.86	7.29	7.32	7.26	6.5	6.59	6.33
	9.21	15.7	8.01	7.86	6.94	8.61	9.24	9.74	9.22	9.45
	9.3	8.04	7.7	7.66	6.79	5.88	6.67	5.55	5.24	5.7
	6.93	9.56	11.69	14.2	16.44	16.34	16.71	16.49	11.86	12.51
	9.78	9.76	9.05	9.54	10.77	10.3	10.47	8.44	8.18	9.48
	10.68	12.58	12.43	13.81	13.35	16.38	17.78	17.06	17.72	17.46
	13.02	11.48	15.59	14.06	12.5	10.11	9.35	7.95	8.64	8.46
	7.93	8.35	7.74	8.28	7.96	7.78	7.22	7.36	7.43	6.87
	6.71	6.67	6.47	14.99	7.18	8.21	9.03	14.08	14.55	14.31
	11.28	11.38	12.45	12.07	11.67	10.96	9.04	7.84	8.12	7.42
	7.34	8.09	10	11.68	13.19	18.6	19.85	18.2	15.75	16.72
	15.22	13.57	13.23	12.05	12.04	12.58	13.14	12.38	13.28	12.26
	13.78	14.47	13.74	14.99	16.27	18.47	20.46	23.91	28.57	25.52
	23.06	23.22	21.13	15.19	18.65	15.87	13.43	11.3	10.92	10.27
	11.01	9.45	9.05	9.47	8.72	8.3	7.99	7.92	8.21	8.14
	7.97	7.64	6.6	5.74	5.33	13.67	10.45	14.21	18.25	20.59
	22.99	17.49	18.14	20.96	18.65	17.85	16.14	16.01	15.63	13.16
	10.9	8.78	9.78	11.06	13.74	11.97	20.65	22.08	22.79	21.51
	16.84	21.27	19.87	18.43	16.39	14.53	14.36	13.96	12.88	11.89
	11.87	10.35	11.06	10.73	11.53	16.09	17.98	18.04	24.17	59.13
	48.7	40.75	31.24	24.67	31.3	27.54	19.12	14.42	11.59	11.68
	12.37	11.78	12.18	10.93	10.73	11.35	10.15	9.74	10.01	9.48
	11.17	10.6	10.69	9.35	7.2	5.35	5.67	23.13	20.65	40.93
	75.51	42.95	42.82	29.72	30.82	30.61	27.17	23.83	21.28	21.66
	17.68	14.43	13.06	12.16	11.31	15.23	28.4	30.55	33.98	34.78
	32.06	25.9	21.41	21.65	17.64	16.79	14.54	13.02	14.24	12.63
	11.51	10.9	10.43	10.13	10.23	11.9	15.84	18.35	17.69	22.38
	45.22	172.91	98.21	59.31	36.19	24.94	24.8	37.09	17.69	13.78
	12.25	12.99	13.24	11.5	13.18	12.52	13.08	12.91	11.89	13.46
	13.75	12.06	14.19	13.56	11.17	9.33	6.62	4.34	4.52	21.57
	83.89	88.19	276.16	115.2	65.3	50.04	44.65	41.81	30.1	21.78
	18.78	18.32	16.56	16.87	12.95	9.43	9.94	40.73	97.24	95.07
	58.45	44.81	26.72	20.72	19.7	19.42	15.04	12.01	10.32	10.39
	9.54	8.3	8.79	8.53	8.45	8.74	10.43	24.05	24.12	18.77
	22.05	50.25	83.16	132.9	218.06	76.47	40.39	27.16	21.91	25.16
	15.18	15.07	13.09	13.38	14.17	14.16	14.31	13.38	14.29	14.66
