N-deposition	mg N/m2/year		im = 72		jm = 48		year1993			

	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
	0.28	0.28	1.03	1.2	1.42	2.02	2.11	1.4	0.5	0.25
	0.2	0.23	0.26	0.31	0.39	0.47	0.61	0.57	0.43	0.37
	0.35	0.37	0.35	0.32	0.5	0.68	0.55	0.28	0.26	0.27
	0.31	0.34	0.37	0.38	0.36	0.29	0.23	0.18	0.16	0.16
	0.18	0.19	0.2	0.2	0.2	0.2	0.19	0.18	0.17	0.17
	0.17	0.17	0.17	0.18	0.2	0.21	0.21	0.21	0.2	0.2
	0.21	0.22	0.23	0.23	0.24	0.25	0.26	0.26	0.27	0.29
	0.32	0.46	0.66	0.73	1.74	1.94	2.06	1.96	2.08	1.14
	0.81	0.24	0.2	0.24	0.29	0.4	0.51	0.61	0.73	0.74
	0.59	0.4	0.34	0.36	1.1	0.97	1.08	1.21	0.83	0.72
	0.43	0.53	0.84	0.67	0.32	0.44	0.47	0.42	0.27	0.18
	0.18	0.23	0.25	0.22	0.17	0.17	0.19	0.19	0.19	0.2
	0.21	0.23	0.25	0.24	0.23	0.22	0.2	0.19	0.19	0.19
	0.19	0.18	0.17	0.17	0.18	0.2	0.21	0.21	0.26	0.26
	0.26	0.3	0.68	1.54	1.64	1.58	2.22	2.34	2.61	2.48
	2.31	2.44	2.84	2.79	3.37	3.12	2.97	2.21	1	1.1
	4.01	3.68	1.04	0.75	0.56	0.74	1.27	0.91	0.94	1.63
	2.34	1.79	1.51	1.67	1.76	1.49	1.16	1.35	0.53	0.51
	0.36	0.23	0.23	0.29	0.26	0.2	0.17	0.17	0.21	0.24
	0.25	0.25	0.23	0.24	0.24	0.23	0.28	0.27	0.2	0.21
	0.24	0.24	0.25	0.25	0.26	0.32	0.31	0.34	0.32	0.36
	0.45	0.36	0.37	0.36	0.36	1.39	1.49	1.77	3.65	4.48
	4.65	4.01	4.02	4.78	5.56	5.81	4.74	4.51	3.58	3.54
	3.86	3.75	4.01	4.08	3	5.86	5.62	4.8	5.12	6.35
	4.37	1.15	3.08	1.73	2.39	2.38	2.58	2.59	2.62	2.43
	2.28	1.7	1.24	1.24	1.04	1.23	1.35	2.4	3.09	2.22
	0.5	0.5	0.33	0.32	0.28	0.28	0.33	0.3	0.43	0.45
	0.29	0.27	0.32	0.45	0.53	0.56	0.76	0.87	0.8	0.72
	0.71	0.72	0.71	0.65	0.74	0.68	1.18	1.62	2.48	2.95
	6.5	7.5	7.84	7.1	6.3	7.24	6.74	7.02	6.2	5.76
	4.98	4.6	5.37	5.05	5.5	5.42	5.23	5.12	4.85	4.86
	5.04	7.37	7.5	3.15	3.48	2.59	2.83	2.91	2.83	2.95
	2.79	3.4	3.21	3.47	3.43	2.93	3.27	4.1	2.87	3.62
	4.94	4.61	3.94	4.69	4.09	2.66	0.6	0.56	0.45	0.67
	1.64	1.49	1.35	0.47	0.46	0.57	0.56	0.74	1.08	1.26
	1.29	1.26	1.15	1.08	1.11	1.7	2.95	3.58	3.48	5.01
	5.74	6.15	10.12	9.69	7.51	7.2	7.46	6.49	7.26	7.24
	6.97	6.44	6.43	6.67	8	8.21	8.07	7.34	6.15	6.07
	5.76	4.86	4.39	4.05	7.77	7.6	2.79	2.19	3.3	3.87
	4.92	4.57	4.73	5.54	5.05	4.97	5.21	5.57	5.83	6.11
	6.5	6.41	6.54	6.12	6.58	6.77	7.72	8.8	9.42	7.15
	7.31	6.69	5.93	5.67	4.62	4.11	3.89	3.71	4.04	4.36
	4.42	5.01	5.86	5.87	6.3	6.42	6.16	7.63	6.37	6.84
	7.55	8.67	8.85	8	13.44	12.31	10.57	8.72	8.98	8.61
	7.74	9.25	9.13	10.3	11.24	11.38	11.55	10.7	11.58	10.71
	10.61	10.37	8.82	8.59	7.24	7.57	6.01	6.8	6.34	4.78
	6.22	5.71	6.44	6.2	6.2	7.16	8.36	6.82	6.95	7
	7.13	7.38	7.75	8.25	9.05	8.75	8.87	8.63	8.82	10.72
	12.83	12.4	12.99	11.69	11.48	10.21	7.73	6.64	6.98	6.25
	6.73	7.37	7.68	8.84	8.13	9.3	9.52	9.38	10.41	11.06
	10.34	9.06	11.33	11.65	11.68	11.4	13.42	12.54	12.47	12.44
	10.6	8.8	9.7	10.95	11.17	10.77	12.93	15.12	14.07	14.11
	14.29	13.3	12.54	11.01	10.82	10.12	10.17	13.89	12.21	9.49
	9.17	8.85	8.88	8.98	9.74	8.32	8.55	8.07	8.09	7.89
	7.93	7.37	7.44	7.61	7.99	8.63	7.5	8.67	9.72	10.53
	11.91	12.64	12.82	11.94	12.26	11.42	10.67	9.18	8.48	10.2
