NHx-deposition	mg N/m2/year		im = 72		jm = 48		year1993			

	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
	0.1	0.1	0.41	0.49	0.57	0.94	1.04	0.7	0.21	0.11
	0.1	0.11	0.14	0.17	0.2	0.24	0.31	0.3	0.22	0.19
	0.16	0.17	0.18	0.18	0.31	0.45	0.33	0.13	0.11	0.11
	0.12	0.14	0.16	0.16	0.15	0.12	0.09	0.07	0.07	0.07
	0.07	0.07	0.07	0.07	0.07	0.07	0.06	0.06	0.06	0.06
	0.06	0.06	0.06	0.06	0.06	0.07	0.07	0.07	0.07	0.08
	0.08	0.09	0.09	0.1	0.1	0.11	0.12	0.12	0.11	0.1
	0.1	0.17	0.23	0.26	0.87	0.97	1	0.92	0.94	0.5
	0.37	0.11	0.09	0.12	0.15	0.22	0.3	0.39	0.48	0.47
	0.34	0.2	0.16	0.17	0.68	0.59	0.68	0.7	0.43	0.41
	0.24	0.31	0.44	0.32	0.14	0.17	0.17	0.15	0.1	0.08
	0.08	0.1	0.09	0.08	0.06	0.06	0.06	0.06	0.06	0.07
	0.07	0.08	0.08	0.08	0.08	0.07	0.07	0.06	0.06	0.06
	0.07	0.07	0.07	0.08	0.08	0.09	0.09	0.09	0.12	0.11
	0.09	0.08	0.24	0.67	0.73	0.73	1.37	1.34	1.47	1.3
	1.12	1.16	1.34	1.32	1.61	1.44	1.44	1.14	0.64	0.74
	2.1	1.89	0.65	0.45	0.33	0.46	0.81	0.55	0.58	1.04
	1.41	1.02	0.97	1.09	1.1	0.86	0.61	0.64	0.21	0.19
	0.13	0.1	0.1	0.1	0.08	0.07	0.07	0.06	0.07	0.08
	0.08	0.09	0.09	0.09	0.1	0.1	0.11	0.1	0.08	0.08
	0.08	0.08	0.09	0.12	0.15	0.17	0.15	0.14	0.13	0.17
	0.22	0.16	0.15	0.12	0.11	0.7	0.85	1.07	2.1	2.5
	2.48	2.21	2.24	2.56	3.01	3.02	2.49	2.27	1.83	1.74
	1.92	1.91	1.91	2.09	1.7	3.06	2.98	2.54	2.66	3.2
	2.32	0.75	2	1.07	1.64	1.63	1.8	1.86	1.76	1.54
	1.29	0.84	0.49	0.65	0.5	0.58	0.71	1.4	1.78	1.15
	0.22	0.2	0.13	0.11	0.1	0.09	0.11	0.11	0.2	0.15
	0.1	0.1	0.12	0.21	0.3	0.36	0.48	0.52	0.41	0.36
	0.34	0.37	0.36	0.33	0.38	0.32	0.6	0.81	1.42	1.65
	3.48	3.87	4.06	3.78	3.34	3.81	3.49	3.61	3.13	2.82
	2.51	2.35	2.65	2.54	2.72	2.62	2.68	2.74	2.62	2.77
	2.74	3.9	4.07	1.92	2.12	1.59	1.81	1.82	1.81	2
	1.81	2.21	1.99	2.04	1.9	1.65	1.88	2.44	1.73	2.25
	2.96	2.66	2.28	2.77	2.3	1.46	0.24	0.21	0.16	0.3
	0.84	0.67	0.64	0.21	0.2	0.28	0.29	0.44	0.66	0.8
	0.74	0.71	0.63	0.55	0.58	0.86	1.57	1.83	1.82	2.62
	3.13	3.37	4.81	4.6	3.23	3.25	3.44	2.51	3.15	2.59
	2.58	2.23	1.99	1.9	3.07	3.73	3.64	3.3	2.57	2.51
	2.26	1.75	1.38	1.06	3.28	3.32	1.1	0.58	1.87	2.15
	2.63	2.35	2.68	3.05	2.82	2.77	2.9	3.1	3.41	3.51
	3.65	3.67	3.69	3.52	3.79	3.8	4.32	4.85	4.9	3.7
	3.68	3.53	3.24	3.14	2.58	2.26	2.11	1.93	1.98	2.21
	2.25	2.63	2.98	2.85	2.93	2.98	2.99	3.81	3.31	3.59
	4.17	4.64	4.57	3.62	6.26	6.02	4.83	3.51	3.8	3.4
	2.98	3.53	3.89	5.03	5.39	5.33	5.31	4.96	5.36	4.9
	4.95	4.97	3.9	3.28	2.35	2.66	2.05	2.73	2.57	1.97
	2.88	2.65	3.08	3.18	3.28	3.77	4.61	3.85	3.96	4.07
	4.26	4.37	4.55	4.76	5.07	4.57	4.57	4.52	4.66	5.21
	5.74	5.39	5.76	5.51	5.73	5.31	4.12	3.17	3.42	2.96
	3.22	3.63	3.98	4.66	4.24	4.85	4.66	4.63	5.24	5.63
	5.44	4.83	5.49	5.35	4.91	4.79	5.27	5.3	5.48	5.34
	4.48	3.32	3.85	4.38	4.66	4.59	5.59	6.51	6.39	6.82
	6.82	6.36	5.84	4.58	4.28	3.79	3.89	6.01	5.77	3.63
	3.61	3.84	4.07	3.89	4.2	3.34	3.68	3.46	3.21	2.87
	3.2	3.57	3.36	3.19	3.37	3.66	3.03	3.62	4.1	4.27
	4.67	4.68	4.73	4.32	4.56	4.43	4.16	3.4	2.85	3.81
	3.44	2.96	2.72	2.92	2.43	3.07	2.96	3.33	3.33	3.12
	3.83	3.29	4.38	4.38	4.03	4.65	5.14	4.97	6.56	7.46
	7.38	6.19	5.69	4.79	4.82	5.01	5.44	6.05	7.24	7.08
	6.34	6.46	8.23	7.57	6.25	5.68	4.43	4.86	5.99	31.62
	90.25	7.89	6.09	4.37	4.07	4.09	5.24	5.23	5.55	5.26
	5.56	4.01	3.7	3.26	3.71	3.69	3.57	2.86	3.35	4.54
	5.8	6.04	6.41	6.71	7.21	6.89	6.07	5.91	5.04	3.73
	3.63	4.56	4.92	5.28	4.03	3.81	3.44	3.57	4.21	5.19
	5.92	5.71	5.97	5.96	8.03	8.13	7.11	8.03	7	5.2
	3.77	4.18	8.38	7.16	6.55	5.76	5.99	6.37	6.05	4.38
	4.35	4.41	3.94	3.74	4.06	4.94	3.96	2.9	3.01	2.59
	4.94	57.93	159.57	21.5	4.55	4.64	5.29	6.68	6.7	6.59
	5.7	4.93	4.81	4.69	3.16	2.53	3.72	3.22	2.75	3.11
	4.02	5.53	8.02	8.36	9.23	6.89	7.87	8.11	5.8	6.32
	3.44	3.51	4.74	6.31	7.52	8.37	6.3	5.38	4.01	4.44
	4.72	7.48	7.85	8.54	7.71	9.35	9.36	9.61	9.86	10.3
	8.8	2.22	5.76	7.52	7.21	5.62	4.9	3.54	3.93	3.77
	4.08	4.39	2.97	2.91	2.7	3.17	3.24	2.86	2.81	2.43
	2.12	1.3	0.77	20.49	175.55	43.39	4.98	7.93	8.64	8.69
	5.91	6.23	6.22	5.73	5.02	4.31	2.35	1.8	3.49	3.34
	3.39	4.27	5.55	5.67	5.95	7.43	8.18	7.48	5.89	6.75
	6.12	5.16	4.32	4.72	5.23	6.71	7.72	7.11	7.59	7.31
	7.55	6.64	5.68	7.3	8.9	10.69	9.66	13.4	15.06	12.19
	12.06	44.68	213.32	16.41	8.91	6.03	5.4	2.32	1.72	1.54
	2.31	1.35	1.31	1.76	1.26	0.25	0.44	0.78	1.03	0.9
	0.49	-0.03	-1.43	-2.05	-2.49	67.27	195.05	138.86	15.77	8.13
	11.17	5.96	6.02	7.74	5.31	4.13	2.74	2.75	3.1	2.09
