N-deposition	mg N/m2/year		im = 72		jm = 48		year2050			

	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
	0.44	0.44	1.61	1.87	2.14	2.97	3.05	2.01	0.74	0.36
	0.3	0.33	0.38	0.46	0.56	0.68	0.87	0.81	0.61	0.54
	0.54	0.58	0.54	0.49	0.75	0.99	0.83	0.45	0.43	0.47
	0.52	0.58	0.63	0.64	0.62	0.5	0.4	0.31	0.27	0.28
	0.31	0.33	0.34	0.35	0.35	0.35	0.34	0.31	0.29	0.28
	0.28	0.28	0.29	0.31	0.33	0.35	0.36	0.36	0.34	0.34
	0.35	0.37	0.38	0.38	0.39	0.4	0.41	0.41	0.42	0.46
	0.5	0.73	1.05	1.14	2.59	2.86	2.99	2.8	2.9	1.61
	1.11	0.34	0.28	0.34	0.4	0.53	0.68	0.81	0.96	0.99
	0.8	0.57	0.51	0.55	1.59	1.4	1.5	1.74	1.21	1.05
	0.63	0.77	1.23	0.99	0.54	0.78	0.83	0.74	0.47	0.31
	0.32	0.43	0.47	0.39	0.31	0.31	0.32	0.33	0.33	0.34
	0.35	0.38	0.41	0.4	0.38	0.36	0.34	0.32	0.31	0.32
	0.31	0.3	0.29	0.28	0.29	0.32	0.33	0.34	0.4	0.41
	0.42	0.47	1.08	2.41	2.51	2.38	3.02	3.21	3.49	3.29
	3.12	3.31	3.86	3.77	4.55	4.26	4.11	3.04	1.32	1.46
	5.45	5.04	1.39	1.03	0.78	1.04	1.76	1.28	1.29	2.27
	3.36	2.61	2.11	2.33	2.49	2.16	1.77	2.04	0.97	0.96
	0.67	0.43	0.41	0.54	0.47	0.36	0.32	0.29	0.38	0.43
	0.44	0.43	0.39	0.41	0.4	0.39	0.47	0.45	0.32	0.34
	0.39	0.39	0.39	0.38	0.38	0.46	0.46	0.51	0.5	0.54
	0.67	0.57	0.58	0.58	0.58	2.09	2.11	2.42	5.04	6.02
	6.24	5.34	5.38	6.46	7.42	7.69	6.34	6.15	5.04	4.98
	5.47	5.39	5.75	5.76	4.12	8.27	7.97	6.95	7.36	8.89
	6.06	1.51	4.26	2.49	3.26	3.33	3.57	3.65	3.89	3.8
	3.6	2.82	2.19	2.05	1.83	2.06	2.23	3.73	4.85	3.77
	0.91	0.95	0.58	0.57	0.53	0.5	0.56	0.49	0.66	0.73
	0.46	0.43	0.5	0.68	0.75	0.75	1.03	1.22	1.13	1.04
	1.02	1.05	1.06	0.97	1.08	1	1.69	2.24	3.47	4.02
	8.65	10.02	10.34	9.35	8.29	9.51	8.98	9.4	8.47	8
	6.99	6.5	7.55	7.12	7.73	7.72	7.38	7.18	6.75	6.69
	7.05	10.28	10.37	4.32	4.87	3.65	3.97	4.1	4.07	4.32
	4.31	5.36	5.16	5.65	5.71	4.97	5.54	6.78	4.46	5.45
	7.55	7.24	6.14	7.12	6.42	4.51	1.17	1.04	0.75	1.07
	2.57	2.34	2.15	0.73	0.72	0.86	0.82	1.04	1.45	1.7
	1.78	1.78	1.65	1.56	1.59	2.44	4.17	5.19	5.1	7.06
	8.05	8.42	14.55	13.51	10.71	10.08	10.32	9.38	10.53	10.93
	10.45	9.86	10.07	10.43	11.78	11.72	11.42	10.46	8.98	8.99
	8.72	7.54	6.94	6.63	11.46	11.14	4.49	4.04	5.02	5.94
	7.85	7.83	8.14	9.49	8.76	8.55	8.78	9.17	9.67	10.23
	11.31	11.01	11	9.92	10.74	11.36	12.8	14.6	16.74	12.69
	12.94	11.28	9.99	9.82	7.66	6.87	6.54	6.45	7.44	7.89
	7.79	8.4	9.57	9.37	10.37	10.52	9.62	12.05	9.86	10.32
	11.08	12.57	12.79	11.86	19.63	17.37	15.08	12.68	12.82	12.42
	11.45	13.74	13.19	14.32	15.85	15.94	16.27	14.95	16.27	15.04
	14.92	14.6	12.72	12.93	11.09	11.52	9.4	11.53	10.61	8.04
	10.79	10.12	12.21	11.56	11.32	12.87	14.59	12.14	12.13	11.9
	11.83	12.12	12.81	13.86	15.25	15.23	15.5	15.1	15.06	19.14
	24.99	25.25	27.15	23.61	22.47	19.06	14.13	12.47	13.21	11.68
	12.68	13.53	13.5	15.36	13.98	15.69	16.21	15.54	16.58	17.21
	15.91	13.46	16.68	17.42	17.93	17.48	20.02	18.66	17.93	17.49
