NOy-deposition	mg N/m2/year		im = 72		jm = 48		year1860			

	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
	0.09	0.09	0.31	0.36	0.43	0.55	0.55	0.35	0.14	0.06
	0.05	0.06	0.06	0.08	0.1	0.12	0.15	0.14	0.11	0.1
	0.1	0.1	0.08	0.07	0.1	0.12	0.11	0.08	0.07	0.08
	0.09	0.1	0.1	0.11	0.1	0.09	0.07	0.05	0.04	0.05
	0.05	0.06	0.06	0.06	0.07	0.07	0.06	0.06	0.06	0.05
	0.05	0.05	0.06	0.06	0.07	0.07	0.07	0.07	0.07	0.06
	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.08	0.1
	0.11	0.15	0.22	0.24	0.44	0.49	0.53	0.53	0.58	0.32
	0.22	0.06	0.05	0.06	0.07	0.08	0.1	0.12	0.13	0.14
	0.13	0.1	0.1	0.1	0.22	0.2	0.21	0.27	0.21	0.17
	0.1	0.12	0.21	0.18	0.09	0.14	0.15	0.13	0.09	0.05
	0.04	0.06	0.08	0.07	0.06	0.06	0.06	0.06	0.07	0.07
	0.07	0.08	0.09	0.08	0.08	0.07	0.07	0.06	0.06	0.06
	0.06	0.06	0.05	0.05	0.05	0.06	0.06	0.06	0.07	0.08
	0.09	0.11	0.22	0.44	0.45	0.42	0.44	0.49	0.57	0.57
	0.61	0.63	0.74	0.7	0.87	0.87	0.83	0.57	0.18	0.19
	1.08	0.98	0.22	0.16	0.12	0.15	0.25	0.19	0.19	0.31
	0.49	0.4	0.29	0.3	0.34	0.34	0.29	0.38	0.16	0.16
	0.12	0.07	0.06	0.1	0.09	0.06	0.05	0.05	0.07	0.08
	0.09	0.08	0.07	0.07	0.07	0.07	0.09	0.08	0.06	0.07
	0.08	0.08	0.08	0.07	0.06	0.07	0.08	0.09	0.09	0.09
	0.11	0.1	0.11	0.12	0.13	0.35	0.32	0.36	0.76	0.97
	1.01	0.87	0.84	1.07	1.25	1.4	1.21	1.17	0.95	0.97
	1.08	1.04	1.11	1.12	0.74	1.63	1.56	1.38	1.46	1.75
	1.08	0.22	0.6	0.36	0.41	0.41	0.42	0.4	0.47	0.48
	0.52	0.44	0.39	0.3	0.27	0.35	0.34	0.57	0.76	0.59
	0.14	0.14	0.11	0.1	0.09	0.09	0.11	0.09	0.12	0.14
	0.09	0.08	0.09	0.12	0.12	0.1	0.14	0.17	0.17	0.16
	0.16	0.16	0.17	0.15	0.16	0.17	0.29	0.39	0.55	0.66
	1.43	1.64	1.7	1.5	1.34	1.56	1.48	1.6	1.5	1.48
	1.29	1.16	1.39	1.27	1.46	1.52	1.41	1.27	1.22	1.18
	1.33	2.05	1.95	0.7	0.8	0.57	0.57	0.59	0.56	0.5
	0.52	0.61	0.63	0.73	0.77	0.65	0.7	0.85	0.62	0.76
	1.13	1.14	0.97	1.12	1.01	0.64	0.17	0.17	0.15	0.19
	0.42	0.43	0.36	0.12	0.12	0.14	0.14	0.15	0.19	0.22
	0.25	0.26	0.25	0.25	0.25	0.39	0.69	0.89	0.85	1.16
	1.27	1.39	2.49	2.38	1.98	1.8	1.91	1.85	1.92	2.2
	2.07	2.02	2.15	2.33	2.35	2.16	2.3	2.1	1.88	1.93
	1.9	1.72	1.69	1.68	2.62	2.52	0.97	0.89	0.8	0.96
	1.25	1.19	1.07	1.29	1.15	1.12	1.19	1.31	1.27	1.34
	1.42	1.39	1.5	1.41	1.53	1.64	1.9	2.2	2.34	1.75
	1.8	1.61	1.37	1.27	1.05	0.93	0.89	0.87	1.02	1.07
	1.12	1.29	1.47	1.58	1.75	1.77	1.63	1.9	1.56	1.65
	1.71	1.94	2.02	2.14	3.32	2.96	2.68	2.41	2.41	2.41
	2.28	2.85	2.49	2.48	2.85	2.85	3.02	2.81	3.25	3.1
	3.05	2.92	2.71	2.94	2.7	2.83	2.32	2.25	2.17	1.6
	1.86	1.64	1.77	1.59	1.55	1.81	1.98	1.52	1.55	1.55
	1.54	1.57	1.67	1.83	2.1	2.18	2.28	2.19	2.24	2.94
	3.55	3.34	3.34	2.85	2.68	2.41	1.8	1.77	1.72	1.63
	1.74	1.9	1.96	2.21	2.11	2.34	2.51	2.46	2.64	2.81
	2.52	2.17	2.91	3.05	3.29	3.07	3.67	3.28	3.18	3.21
	2.81	2.61	2.9	3.31	3.22	2.96	3.48	4.17	3.84	3.74
	3.97	3.77	3.66	3.55	3.68	3.63	3.69	4.79	3.79	3.35
	3.21	2.79	2.58	2.76	3.01	2.61	2.5	2.37	2.5	2.65
	2.55	2.09	2.22	2.42	2.44	2.65	2.4	2.8	3.06	3.26
	3.67	3.83	4.05	3.86	3.73	3.43	3.28	2.97	2.76	3.16
	2.93	2.69	2.59	2.71	2.56	2.85	3.26	3.3	3.3	3.22
	3.57	3.22	3.54	3.42	3.3	3.71	3.81	3.57	4.53	4.15
	3.98	3.79	3.72	3.65	4.01	3.94	3.73	3.67	4.08	4.15
	4.06	4.82	4.73	4.41	4.4	4.29	4.14	4.4	4.93	8.03
	5.41	4.62	3.79	3.19	3.18	3.12	3.52	3.19	3.26	3.21
	3.45	3.13	2.75	2.68	2.8	2.6	2.55	2.31	2.62	3.4
	4.1	4.5	4.86	5.74	5.75	5.53	4.77	4.54	4.31	3.54
	3.19	3.31	3.57	3.69	3.44	3.29	3.17	3.61	4.24	4.76
	4.72	5.05	5.35	4.83	5.36	5.29	5.66	5.83	5.44	4.55
	5.26	4.63	4.76	4.36	4.1	4.09	4.53	4.83	4.58	4.07
	3.83	4.07	4.16	4.44	4.06	4.21	4.23	3.85	4	3.83
	5.63	9.18	4.19	4.34	3.92	4.63	4.73	4.94	4.61	4.8
	4.85	4.18	3.93	3.95	3.41	3.13	3.51	2.98	2.95	3.41
	4.03	5.17	5.81	6.88	7.61	7.62	7.47	7.66	5.7	6.29
	4.97	5.03	4.81	5.05	5.7	5.77	5.98	4.8	4.79	5.58
	6.22	7.2	7.19	7.87	6.91	7.54	7.72	7.37	7.16	7.34
	5.74	5.03	6.65	6.27	6	4.94	4.69	4.06	4.59	4.39
	4.13	4.4	4.09	4.6	4.42	4.41	4.15	4.4	4.55	4.21
	4.22	4.2	4.03	8.91	2.61	4.21	4.56	7.01	7.23	7.23
	5.61	5.72	6.41	6.29	6.09	5.9	4.92	4.26	4.35	3.99
	4.17	4.42	5.2	5.92	6.45	8.92	9.36	8.48	7.22	7.74
	7.36	6.67	6.54	6.15	6.3	6.5	7.02	7.04	7.43	6.7
	7.78	8.26	7.8	8.28	9.31	10.28	9.89	9.74	10.82	9.85
	9.35	9.58	7.97	6.37	7.89	7.39	6.77	5.95	5.87	5.51
	6.27	5.35	5.22	5.46	5.05	4.9	4.68	4.78	5.08	5.08
	5.1	5.02	4.24	3.55	3.25	6.59	4.22	5.8	8.15	9.3
	10.69	8.77	9.63	10.77	9.38	9.21	8.71	8.62	8.53	7.31
	6.16	4.99	5.16	5.82	6.86	5.39	8.8	9.77	10.35	9.67
	8.09	10.35	9.65	9.19	8.35	7.55	7.54	7.41	7.01	6.52
	6.41	5.6	5.9	5.71	6.28	9.34	10.52	9.35	10.02	13.82
	14.16	13.5	12.11	9.6	11.14	8.23	8.72	7.36	6.22	6.52
	7.1	6.91	7.38	6.7	6.71	7.25	6.48	6.18	6.38	5.98
	7.29	7.02	7.3	6.26	4.65	3.37	3.58	6.7	6.76	11.07
	21.4	16.74	18.18	13.75	14.61	14.82	13.27	11.77	11.36	11.75
	9.67	8.12	7.34	6.62	5.88	7.07	10.95	9.74	11.08	12.46
	12.85	11.26	10.38	10.86	9.13	8.88	7.38	6.81	7.72	6.74
	6.15	5.72	5.56	5.24	5.21	5.79	8.14	10.58	9.6	9.76
	14.25	26.02	20.88	17.83	13.5	10.06	10.4	10.71	8.72	7.32
	6.96	7.66	8.17	7.28	8.65	8.25	8.85	8.83	8.2	9.37
	9.5	8.28	9.92	9.74	7.92	6.46	4.33	2.68	2.7	6.99
	22.62	27.97	50.36	37.41	25.84	22.03	20.72	19.73	15.4	11.66
	10.67	10.3	9.71	9.77	7.2	5.08	4.72	4.61	10.43	14.61
	14.37	15.16	10.41	9.81	10.36	10.78	8.61	6.66	5.49	5.55
	5.11	4.49	4.65	4.46	4.3	4.28	4.94	8.99	10.79	10.51
	11.89	13.38	20.15	37.65	29.49	22.39	15	11.67	10.07	9.97
	8.26	8.75	7.97	8.5	9.38	9.76	9.9	9.3	10.24	10.59
	10.98	12.61	12.07	11.24	13.54	11.06	7.1	5.42	3.44	2.96
	2.04	4.67	27.97	37.3	55.51	61.59	43.93	29.21	27.71	22
	17.14	14.88	13.31	11.34	9.5	7.95	5.17	4.17	3.6	4.54
	14.28	30.6	30.24	16.47	10.22	11.02	13.35	10.25	10.3	8.05
	6.74	5.65	5.45	4.62	4.4	4.39	3.99	4.41	5.34	10.1
	10.11	12.42	16.14	19.58	29.33	48.31	43.46	22.59	14.55	11.27
	7.93	8.32	8.92	8.52	8.18	11.06	13.96	14.6	12.39	12.66
	10.54	13.07	13.19	12.4	11.12	11.64	11.55	6.55	4.6	3.34
	2.6	2.47	2.24	3.39	8.78	46.12	52.76	105.95	67.22	27.56
	28.32	24.9	22.27	17.49	12.41	8.54	7.25	5.43	4.82	5.13
	5.25	11.52	35.05	58.35	55.05	18.13	11.47	18.68	19.77	14
	11.36	9.1	6.84	6.71	6.9	5.24	5.41	5.4	4.74	4.92
	6.25	9.58	16.53	20.56	21.72	27.53	36.67	33.29	40.89	18.48
	10.88	11.33	8.77	10	8.23	8.49	10.95	10.75	12.76	13.37
	13.71	12.08	11.17	12.04	12.87	10.3	8.52	9.17	6.09	4.49
	3.73	3.31	3.16	2.53	3.06	2.81	9.01	34.31	60.52	115.16
	77.22	44.48	28.17	23.75	19.59	14.19	9.42	7.73	6.62	6.89
	6.05	7.21	9.43	35.65	89.9	91.17	117.03	36.98	16.59	27.76
	21.13	16.12	11.5	8.23	7.74	7.69	7.34	6	5.7	6.36
	5.64	6.31	7.46	14.72	20.25	17.96	23.95	28.11	45.81	43
	33.61	14.06	10.39	9.88	10.47	9.26	14.25	17.56	14.51	14.1
	17.09	14.13	11.11	13.73	17.1	15.13	11.05	9.47	7.24	6.15
	4.8	4.3	3.65	3.51	3.48	3.28	4.14	5.9	21.71	40.97
	75.68	104.56	88.85	59.79	29.27	18.58	14.05	10.51	8.33	7
	7.64	7.85	8.12	8.72	14.41	112.02	148.39	121.85	87.77	57.59
	22.45	46.51	25.68	18.97	11.83	10.38	9.74	10.16	10.01	8.71
	8.68	8.82	8.72	9.26	10.5	18.8	23.71	29.98	41.13	48.97
	59.73	45.64	22.73	14.95	12.65	13.1	10.93	11.57	24.58	22.37
	17.32	17.5	18.19	18.57	14.88	16.34	16.76	16.2	9.79	9.18
	6.71	5.54	5.09	4.83	4.54	4.13	4.51	4.66	5.69	19.61
	61.59	80.46	101.22	122.52	93	69.82	41.96	18.36	13.58	11.24
	8.64	8.65	11.5	12.33	12.59	14.55	25.07	138.61	123.02	83.68
	69.83	56.55	47.76	55.48	28.52	19.18	13.35	12.72	11.25	11.92
	15.48	12.19	11.97	13.51	11.55	12.81	15.7	19.17	23.52	54.55
	58.47	56.77	58.81	28.29	19.82	17.61	18.78	15.39	14.36	22.55
	30.15	27.42	27.59	27.06	23.29	20.44	21.03	17.82	12.29	12.02
	8.25	7.65	6.71	5.49	5.13	5.68	5.7	5.61	5.76	6.47
	20.67	79.5	93.75	98.34	135.97	99.76	92.96	57.23	35.68	18.38
	12.9	11.34	10.81	11.78	15.25	18.64	19.6	22.45	33.54	103.61
	107.69	91.31	125.57	49.11	59.67	26.91	20.3	22.35	18.82	17.42
	14.39	16.06	19.61	20.16	21.91	23.46	28.51	34.44	31.03	30.39
	27.85	38.44	50.59	44.76	28.53	21.97	20.45	19.7	19.56	16.56
	20.88	30.61	22.67	22.85	21.77	29.62	19.28	15.52	18.33	13.1
	9.66	10.12	7.87	8.52	7.98	6.12	6.68	7.81	8.39	9.78
	10.57	13	54.01	102.94	94.61	116.82	116.99	97.75	121.91	76.62
	32.81	21.06	17.7	16.92	15.14	15.96	19.38	23.82	26.25	27.58
	48.22	126.7	121.2	107.45	56.46	68.18	47.76	22.38	19.47	18.86
	18.88	16.08	16.33	17.62	21.85	23.21	29.97	36.05	46.94	44
	37.09	43.79	31.01	28.61	26.59	27.48	34.55	30.36	29.05	22.87
	26.11	21.84	24.54	29.92	12.95	17.73	14.46	19.49	8.74	10.76
	12.68	6.74	8.46	12.19	7.13	8.86	10.95	6.61	9.06	13.67
	12.45	16.18	20.51	15.44	71.72	85.86	93.57	86.24	96.44	96.8
	128.29	114.65	33.58	26.67	26.86	32.63	27.34	24.28	27.74	29.45
	36.17	42.42	84.89	141.34	177.83	210.88	56.09	47.53	33.11	19.01
	18.81	17.75	20.18	20.3	20.93	20.84	21.66	25.94	29.35	45.56
	63.7	47.65	27.85	40.63	49.29	39.19	34.73	48.3	51.47	36.94
	31.22	28.05	29.89	27.71	30.47	25.19	10.29	10.7	8.38	10.5
	5.23	7.09	8.34	4.72	6.54	8.11	5.76	7.4	9.11	6.39
	8.07	10.7	10.22	10.7	16.32	19.43	87.4	124.7	88.63	72.33
	100.29	79.75	80.08	51.92	32.7	41.25	40.42	37.49	35.92	31.89
	38.2	37.5	45.93	51.76	117.38	159.06	166.08	205.75	75.26	48.52
	35.16	16.85	14.53	17.96	22.87	22.83	23.85	26.03	24.18	26.06
	25.74	48.55	74.74	36.99	33.6	48.67	48.45	39.86	43.62	42.51
	31.2	22.16	21.08	18.75	16.94	13.05	26.25	17.01	16.81	10.98
	10.76	16.48	8.84	11.65	14.16	10.12	13.7	15.93	11.19	17.16
