NOy-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	23.28	22.71	20.3	21.08	23.61	21.69	21.84	17.56	16.46	19.11
	21.45	25.4	23.76	25.25	22.66	24.71	26.09	24.93	25.23	25.57
	19.04	16.4	21.87	20.68	18.63	15.24	14.25	12.3	13.39	12.91
	12	12.6	11.7	12.53	11.94	11.48	10.59	10.7	10.76	9.98
	9.68	9.69	9.93	25.06	23.98	19.56	21.09	32.6	33.2	30.67
	23.44	22.87	24.07	22.83	21.33	19.83	16.33	14.35	14.61	13.28
	13.04	14.73	19.7	24.54	30.86	46.04	49.39	45.46	39.83	42.07
	36.6	32.25	31.05	26.7	26.09	27.56	28.64	25.65	27.63	25.89
	28.34	29.37	28.13	30.63	30.25	31.35	31.82	34.38	39.18	34.66
	31.77	31.8	26.17	20.26	25.36	23.03	19.77	17	16.73	15.69
	16.95	14.59	13.92	14.12	12.93	12.37	11.92	11.63	11.93	11.67
	11.42	11	9.53	8.4	8.33	34.67	32.41	42.59	47.62	50.76
	52.42	36.59	35.81	40.8	34.91	32.34	28.6	28.39	27.48	22.94
	18.66	15.05	17.48	20.59	28.9	30.14	55.98	58.11	58.02	56.06
	42.09	51.99	46.74	41.87	35.98	31.29	30.6	29.51	26.74	24.57
	24.77	21.71	23.3	22.28	23.57	29.08	29.23	28.41	35.08	71.42
	59.34	51.72	41.34	31.86	37.85	32.05	25.37	20.65	16.98	17.46
	18.49	17.51	18.17	16.37	15.95	16.76	14.77	14.11	14.6	13.83
	16.01	15.06	15.03	13.47	10.39	7.74	8.64	86.11	73.6	134.07
	238.65	105.52	94.84	61.15	60.87	58.57	50.47	43.19	37.23	36.93
	29.74	24.09	21.26	20.18	20.6	33.6	82.49	104.19	114.34	111.18
	94.53	70.75	51.09	49.75	39.75	36.34	31.52	27.5	29.38	26.06
	23.99	22.79	21.67	21.09	21.45	24.32	29.24	30.67	28.16	32.82
	59.01	188.04	110.36	72.59	47.03	33.17	32.76	42.7	24.1	19.44
	17.69	19.14	19.59	16.59	19	17.98	18.61	18.37	16.96	18.96
	19.43	17.1	19.93	18.77	15.59	13.32	9.6	6.31	7.32	82.93
	361.72	271.53	1080.36	288.19	146.78	105.53	87.43	78.84	54.03	37.77
	31.26	30.07	26.37	26.39	20.67	16.31	20.78	167.96	410.64	403.04
	236.36	149.67	81.58	53.37	46.18	42.81	31.49	24.84	22.07	21.52
	19.75	17.4	18.86	18.19	17.92	18.15	20.79	40.35	40.31	30.23
	32.78	64.75	102.22	162.25	235.66	93.78	52.49	36.83	29.74	32.75
	21.31	21.38	18.79	19.32	20.31	19.78	19.74	18.56	19.67	20.16
	20.76	23.51	22.37	21.67	25.66	20.58	13.92	11.28	7.74	6.86
	6.97	45.67	179.91	316.53	528.56	482.54	318.94	168.73	128.05	84.33
	56.44	46.02	38.87	31.15	25.23	21.91	15.61	15.17	24.52	194.73
	588.08	855.55	645.76	175.32	74.87	50.58	50.09	37.72	32.96	26.05
	23.54	21.12	20.16	17.84	17.36	17.13	16.54	17.53	23.76	69.63
	37.28	28.81	35.38	48.86	66.15	124.64	164.64	101.06	47.99	33.24
	23.37	22.94	20.88	19.02	18.19	22.79	26.52	26.43	22.41	22.65
	19.38	23.44	23.53	21.76	20.21	21.52	21.54	12.57	9.48	7.26
	6.09	6.19	8.27	25.29	43.33	200.16	309.93	596.66	653.2	263.16
	126	86.31	61.53	44.5	31.46	21.77	18.55	14.8	14.51	19.19
	50.88	121.54	444.66	1235.17	1016.34	155.17	62.64	66.55	61.48	42.22
	33.24	28.34	21.99	22.14	22.21	19	19.37	19.51	17.84	19.58
	25.62	46.94	30.69	33.24	36.32	47.25	62.13	69.18	137.12	97.35
	33.08	30.13	22.84	23.28	17.08	17.09	20.71	19.47	22.16	22.32
	22.67	19.68	18.88	20.18	21.11	17.13	15.08	16.56	11.56	8.79
	7.68	7.18	7.22	6.57	10.88	16.72	44.53	110.76	262	635.68
	1182.96	1016.16	155.95	66.97	47.2	32.74	22.28	19.43	17.34	18.29
	19.38	32.28	71.24	114.56	243.05	398.34	583.02	164.97	63.18	75.56
	56.57	45.91	30.7	24.33	22.83	21.79	20.98	19.38	19.49	20.7
	20.04	22.17	24.22	28.76	30.59	27.49	37.3	44.66	70.25	88.55
	99.18	50.36	25.97	23.14	22.86	19.86	24.2	28.92	23.22	21.96
	26.62	22.04	17.29	20.36	25.87	23.19	17.55	15.26	12.28	10.8
	8.85	8.3	7.46	7.56	7.83	8.51	12.95	18.38	68.61	114.92
	246.76	388.07	464.78	535.06	190.74	43.12	30.05	23.02	19.07	17.35
	20.57	23.55	30.37	51.93	62.22	255.3	333.25	361.81	397.83	185.71
	80.87	106.05	62.54	67.07	28.26	25.38	23.9	24.16	23.98	22.72
	23.24	24.52	24.68	26.27	25.95	32.83	34.82	40.97	59.69	71.09
	93.6	107.41	62.04	34.97	26.26	24.61	21.47	20.82	35.77	31.8
	23.97	24.12	25.84	26.36	21.83	23.85	25.13	24.8	15.36	14.76
	11.23	9.6	9.09	8.9	8.88	8.36	9.3	10.71	15.26	62.89
